cow_id,weight,Withers height,Hip height ,Chest width,Chest heart,dataset
3,633.0,123,122,53,214,CowDatabase2
4,632.0,119,124,52,224,CowDatabase2
5,604.0,120,122,50,217,CowDatabase2
7,617.0,145,144,51,216,CowDatabase2
8,619.0,143,143,56,215,CowDatabase2
9,592.0,137,147,52,219,CowDatabase2
12,746.0,146,155,55,229,CowDatabase2
13,612.0,146,145,51,218,CowDatabase2
14,590.0,147,148,53,208,CowDatabase2
15,676.0,143,151,53,229,CowDatabase2
16,610.0,133,139,54,216,CowDatabase2
17,626.0,144,147,54,217,CowDatabase2
18,625.0,146,152,53,224,CowDatabase2
19,600.0,143,147,52,206,CowDatabase2
20,619.0,145,152,50,210,CowDatabase2
21,606.0,146,152,53,220,CowDatabase2
22,612.0,141,147,52,211,CowDatabase2
23,612.0,143,143,56,214,CowDatabase2
24,617.0,143,148,51,210,CowDatabase2
25,648.0,152,152,53,213,CowDatabase2
26,693.0,152,151,52,230,CowDatabase2
27,595.0,148,150,48,217,CowDatabase2
28,588.0,147,150,49,212,CowDatabase2
29,596.0,143,147,52,223,CowDatabase2
30,650.0,148,150,55,221,CowDatabase2
31,670.0,153,152,54,226,CowDatabase2
32,602.0,149,147,54,224,CowDatabase2
33,577.0,148,150,52,213,CowDatabase2
34,611.0,145,147,51,214,CowDatabase2
35,637.0,144,145,53,226,CowDatabase2
36,578.0,144,150,49,208,CowDatabase2
37,654.0,149,153,52,222,CowDatabase2
38,608.0,139,142,51,219,CowDatabase2
40,574.0,144,147,52,211,CowDatabase2
41,670.0,151,153,52,221,CowDatabase2
42,626.0,147,152,51,210,CowDatabase2
43,600.0,148,152,52,214,CowDatabase2
44,665.0,148,153,54,221,CowDatabase2
45,603.0,143,147,53,217,CowDatabase2
46,639.0,148,147,54,223,CowDatabase2
47,610.0,144,145,55,226,CowDatabase2
48,642.0,143,148,54,219,CowDatabase2
49,605.0,150,156,51,216,CowDatabase2
50,631.0,143,150,53,226,CowDatabase2
51,590.0,144,143,52,224,CowDatabase2
53,599.0,148,150,50,215,CowDatabase2
56,584.0,143,145,52,216,CowDatabase2
62,563.0,137,145,51,215,CowDatabase2
65,558.0,139,138,51,214,CowDatabase2
66,564.0,141,143,49,217,CowDatabase2
67,627.0,143,146,49,217,CowDatabase2
68,582.0,139,144,54,220,CowDatabase2
69,611.0,139,145,50,215,CowDatabase2
70,611.0,139,138,52,218,CowDatabase2
71,610.0,147,150,55,210,CowDatabase2
72,646.0,147,148,54,217,CowDatabase2
73,589.0,144,152,52,206,CowDatabase2
74,615.0,139,143,53,222,CowDatabase2
75,649.0,137,143,53,219,CowDatabase2
76,632.0,143,146,50,210,CowDatabase2
77,656.0,142,147,55,218,CowDatabase2
78,588.0,139,140,48,213,CowDatabase2
79,657.0,147,150,53,220,CowDatabase2
80,650.0,146,152,54,222,CowDatabase2
81,579.0,147,150,52,215,CowDatabase2
82,613.0,144,148,52,217,CowDatabase2
83,646.0,145,147,52,219,CowDatabase2
107,589.0,148,150,54,213,CowDatabase2
84,619.0,144,150,52,220,CowDatabase2
85,618.0,146,148,49,219,CowDatabase2
86,573.0,138,143,50,209,CowDatabase2
87,603.0,143,148,51,226,CowDatabase2
88,660.0,143,146,54,218,CowDatabase2
89,556.0,139,143,51,215,CowDatabase2
90,575.0,145,149,53,209,CowDatabase2
91,645.0,146,144,51,212,CowDatabase2
92,632.0,139,148,52,221,CowDatabase2
93,566.0,137,146,54,207,CowDatabase2
94,600.0,139,138,49,205,CowDatabase2
95,679.0,145,147,53,219,CowDatabase2
96,604.0,141,148,52,220,CowDatabase2
97,665.0,144,150,54,220,CowDatabase2
98,597.0,141,141,55,217,CowDatabase2
99,570.0,139,142,50,210,CowDatabase2
100,605.0,143,146,54,216,CowDatabase2
101,595.0,143,146,51,216,CowDatabase2
102,596.0,144,148,52,217,CowDatabase2
103,648.0,140,144,55,221,CowDatabase2
104,607.0,143,148,53,223,CowDatabase2
105,648.0,143,146,54,221,CowDatabase2
106,582.0,147,150,48,207,CowDatabase2
108,581.0,143,145,51,217,CowDatabase2
109,582.0,142,147,53,217,CowDatabase2
110,605.0,149,146,51,216,CowDatabase2
111,592.0,142,143,54,222,CowDatabase2
112,603.0,141,147,50,220,CowDatabase2
